"STATION","NAME","DATE","AWND","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-11","6.71","0.00",,"0.0","0.0","87","100","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-12","6.71","0.00",,"0.0","0.0","89","103","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-13","7.38","0.00",,"0.0","0.0","88","103","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-14","8.72","0.00",,"0.0","0.0","85","98","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-15","8.72","0.00",,"0.0","0.0","83","90","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-16","8.28","0.00",,"0.0","0.0","86","97","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-17","8.05","0.00",,"0.0","0.0","88","100","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-18","7.61","0.00",,"0.0","0.0","86","99","73",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-19","8.05","0.00",,"0.0","0.0","85","96","74","    1",,,,,,,"    1",,,"    1",,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-20","8.95","0.00",,"0.0","0.0","87","98","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-21","8.72","0.16",,"0.0","0.0","87","98","75",,,"    1",,,,,,,,,,,"    1",,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-22","6.93","0.00",,"0.0","0.0","83","94","71",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-23","6.49","0.00",,"0.0","0.0","84","95","72",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-24","7.16","0.00",,"0.0","0.0","87","98","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-25","7.61","0.00",,"0.0","0.0","87","98","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-26","9.17","0.00",,"0.0","0.0","86","97","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-27","9.40","0.00",,"0.0","0.0","86","98","74",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-28","10.29","0.00",,"0.0","0.0","88","99","77",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-29","10.29","0.00",,"0.0","0.0","89","99","78",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-30","7.61","0.00",,"0.0","0.0","87","99","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-08-31","7.83","0.00",,"0.0","0.0","89","103","75",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-01","7.38","0.00",,"0.0","0.0","90","102","77",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-02","6.71","0.00",,"0.0","0.0","91","104","78",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-03","7.16","0.00",,"0.0","0.0","91","104","77",,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","2000-09-04","5.37","0.00",,"0.0","0.0","92","109","75",,,,,,,,,,,,,,,,,
