"STATION","NAME","DATE","ACSH","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21"
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-14",,,,"0.00","0.0",,"72","41",,,,,,,,,"    1",,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-15",,,,"0.00","0.0",,"85","63",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-16",,,,"0.00","0.0",,"82","59",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-17",,,,"0.00","0.0",,"81","56",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-18",,,,"0.03","0.0",,"84","64",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-19",,,,"0.00","0.0",,"85","65",,,,,,,,"    1",,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-20",,,,"0.00","0.0",,"84","67",,"    1",,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-21",,,,"0.01","0.0",,"83","69",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-22",,,,"0.15","0.0",,"77","47",,,,"    1",,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-23",,,,"0.00","0.0",,"88","39",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-24",,,,"0.00","0.0",,"83","49",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-25",,,,"0.00","0.0",,"80","65",,,,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-26",,,,"0.00","0.0",,"85","53",,"    1",,,,,,,,,,,,,,,"    1",,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-27",,,,"0.00","0.0",,"72","48",,,,,,,,,,,,,,,,,,,,,
"USW00012921","SAN ANTONIO INTERNATIONAL AIRPORT, TX US","1948-03-28",,,,"0.00","0.0",,"72","48",,,,,,,,,,,,,,,,,,,,,
