"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TMAX","TMIN","WT01","WT02","WT03","WT06","WT08"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-04","4.92"," 1321","0.00",,"57","26",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-05","3.80"," 1337","0.00",,"62","39",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-06","4.25"," 2104","0.00",,"64","32","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-07","10.07"," 1131","0.00",,"68","51","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-08","13.87"," 1258","0.00",,"69","42",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-09","4.92"," 1447","0.00",,"71","35",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-10","8.95"," 1503","0.00",,"72","43","    1","    1",,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-11","14.76"," 1649","0.00",,"75","45",,,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-12","12.08"," 0214","0.00",,"59","32",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-13","8.28"," 0936","0.00",,"54","28",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-14","4.70"," 1454","0.00",,"63","23",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-15","9.62"," 2323","0.03",,"70","32","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-16","21.25"," 0048","0.02",,"40","26",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-17","8.50"," 1219","0.00",,"38","17",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-18","3.80"," 1933","0.00",,"45","32",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-19","2.24"," 2359","0.00",,"52","40","    1","    1",,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-20","6.49"," 1604","0.01",,"62","49","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-21","9.17"," 1439","0.00",,"71","56","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-22","11.41"," 1146","0.00",,"67","34","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-23","6.49"," 1143","0.00",,"66","28",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-24","5.82"," 1253","0.00",,"65","32",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-25","8.05"," 1441","0.00",,"62","26",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-26","7.16"," 1719","0.00",,"69","51","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-27","8.72"," 1212","0.21",,"70","58","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-28","9.40"," 1013","0.00",,"70","42",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-29","11.41"," 1446","0.00",,"70","38",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-30","6.93"," 1401","0.00",,"66","30",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-01-31","10.51"," 1242","0.00",,"73","39","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-01","10.96"," 2358","0.00",,"77","48","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-02","12.75"," 2358","0.00",,"60","45",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-03","7.61"," 1516","0.01",,"55","43","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-04","8.05"," 1839","0.00",,"79","40","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-05","9.62"," 0056","0.00",,"58","42",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-06","11.41"," 2310","0.01",,"55","43","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-07","16.55"," 0457","0.02",,"49","35","    1",,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-08","7.61"," 0556","0.00",,"61","32","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-09","6.49"," 0334","0.02",,"61","50","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-10","8.50"," 1558","0.01",,"65","41","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-11","15.88"," 1129","0.00",,"42","30","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-12","10.51"," 1041","0.00",,"46","27",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-13","6.71"," 1121","0.02",,"46","38","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-14","4.70"," 1711","0.04",,"70","46","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-15","10.51"," 1508","0.00",,"77","63","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-16","9.17"," 1242","0.00",,"77","58","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-17","8.50"," 1524","0.00",,"64","50","    1",,,,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-18","11.18"," 2243","0.01",,"79","51","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-19","19.24"," 1235","0.00",,"81","67",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-20","13.65"," 1716","0.16",,"73","69","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-21","16.33"," 1246","0.11",,"72","41","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-22","11.63"," 0207","0.18",,"44","38","    1",,"    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-23","8.28"," 0653","0.44",,"73","44","    1","    1","    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-24","10.74"," 0445","0.02",,"75","61","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-25","9.17"," 1007","0.05",,"63","46","    1","    1","    1",,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-26","8.28"," 1458","0.01",,"74","47","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-27","10.51"," 1613","0.01",,"82","59","    1","    1",,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-02-28","10.96"," 1419","0.00",,"86","66","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-01","12.08"," 0157","0.00",,"75","51",,,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-02","7.83"," 1253","0.00",,"74","50","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-03","6.49"," 1345","0.03",,"74","48","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-04","13.20"," 1726","0.00",,"83","63","    1",,,,
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-05","10.96"," 1704","0.01",,"86","61","    1",,"    1",,"    1"
"USW00012979","SAN MARCOS MUNICIPAL AIRPORT, TX US","2018-03-06","10.74"," 1511","0.00",,"74","52",,,,,
